glean_id,glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id
580728fa-e72b-4634-993c-aec4caee69ff,2020-07-22,Line items from vendor 29565c48-872e-4a2a-a582-00dcdac573a1in this invoice cover future periods (through 2021-07-22),accrual_alert,invoice,100360f5-49ff-4ba7-8d1e-a3b8c4e132a7,29565c48-872e-4a2a-a582-00dcdac573a1
3013da33-7e31-44c0-81f0-0abc8146aac3,2020-07-31,Line items from vendor 3868ba1e-df06-4cdf-8445-3ff788ef6085in this invoice cover future periods (through 2020-11-19),accrual_alert,invoice,60b75cef-ae45-4b5b-a14d-f7d3c3f0d3db,3868ba1e-df06-4cdf-8445-3ff788ef6085
d1acb7d7-29b0-4094-98a1-e38ce7d7e863,2019-11-30,Line items from vendor 0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0in this invoice cover future periods (through 2020-11-25),accrual_alert,invoice,aa72f769-0c12-4c5e-bc86-d74be4fa8eeb,0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0
b6617cc7-ab16-48ef-9c82-c1098c8b2281,2020-10-08,Line items from vendor 1e71abd5-41e3-488d-bb1c-9e48f3790846in this invoice cover future periods (through 2021-09-24),accrual_alert,invoice,b92cd27b-2db5-4afa-a996-7b0c0f72b1f4,1e71abd5-41e3-488d-bb1c-9e48f3790846
f80b2889-f356-49bd-9d7c-23b85b64387e,2020-11-05,Line items from vendor 29565c48-872e-4a2a-a582-00dcdac573a1in this invoice cover future periods (through 2021-07-22),accrual_alert,invoice,3f7ee123-da31-4da6-9e4a-955036917a82,29565c48-872e-4a2a-a582-00dcdac573a1
07b39dae-90e5-4188-ac37-8d2d136175ab,2020-08-01,Line items from vendor e7f597e5-0d7b-4192-a7d8-60d0b3b4115ein this invoice cover future periods (through 2020-10-31),accrual_alert,invoice,63571cd7-04af-4cb2-955e-f9a504274577,e7f597e5-0d7b-4192-a7d8-60d0b3b4115e
29343214-0524-490e-a7aa-04ee77e7c05b,2019-12-01,Line items from vendor e7f597e5-0d7b-4192-a7d8-60d0b3b4115ein this invoice cover future periods (through 2020-03-31),accrual_alert,invoice,7910d83e-cf69-4b61-9f3e-3dba99cc6cb4,e7f597e5-0d7b-4192-a7d8-60d0b3b4115e
0dcb4ddc-4b2f-4fa8-a2c9-f9f8ba1225ea,2020-07-14,Line items from vendor dc885256-e806-4a7a-bd68-37b1eed72643in this invoice cover future periods (through 2021-07-15),accrual_alert,invoice,9355f8d1-c32f-47d9-8ae6-5b0d54252eb9,dc885256-e806-4a7a-bd68-37b1eed72643
59c25fd8-34df-4411-b042-056afa5793ad,2020-07-24,Line items from vendor 8db7096a-752d-433f-a263-555b035c7836in this invoice cover future periods (through 2021-07-17),accrual_alert,invoice,84229a05-8ad0-4453-aa02-7fc941abfd4b,8db7096a-752d-433f-a263-555b035c7836
6174701f-7c42-473f-a5db-88fde6fd1df0,2018-05-29,Line items from vendor f4fe1983-adde-416b-88d2-be837908b745in this invoice cover future periods (through 2019-05-29),accrual_alert,invoice,e00b39d4-286a-40a2-a14d-2c9ba9040ccc,f4fe1983-adde-416b-88d2-be837908b745
