glean_id,glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id
55d76328-d8e9-4036-8b01-d2556fa085be,2020-07-22,Line items from vendor 021143b8-0357-4836-ab87-50a9756d8156 in this invoice cover future periods (through 2019-04-22),accrual_alert,invoice,e1fbba74-6044-4a82-a571-871dcc05b1d1,021143b8-0357-4836-ab87-50a9756d8156
b0ec7c15-18e4-4b6a-9c43-9592a97a1900,2020-01-31,Line items from vendor a7f1156a-1898-40e9-8e72-52eb1f1471ca in this invoice cover future periods (through 2019-09-30),accrual_alert,invoice,0669155f-41f4-478e-9728-f60ea0c0a12e,a7f1156a-1898-40e9-8e72-52eb1f1471ca
f6415d3c-ea9d-4ae0-9534-e708be965714,2020-02-29,Line items from vendor 5bf79357-b95c-456c-bf8b-95d73a8a8f29 in this invoice cover future periods (through 2018-10-30),accrual_alert,invoice,fc79cef0-d176-47f9-b9db-7153759c8019,5bf79357-b95c-456c-bf8b-95d73a8a8f29
d24dd786-1660-4fe3-966a-7bca8525842b,2019-11-19,Line items from vendor a7f1156a-1898-40e9-8e72-52eb1f1471ca in this invoice cover future periods (through 2019-06-30),accrual_alert,invoice,816441c5-4c16-422c-a52d-254395d2e707,a7f1156a-1898-40e9-8e72-52eb1f1471ca
f9436130-caa3-45d5-9e94-c59b1ce5f894,2020-01-01,Line items from vendor 906a0cbb-b05a-4501-beff-40a1d3bd6399 in this invoice cover future periods (through 2014-10-05),accrual_alert,invoice,60ab208a-56dd-4dce-af12-e923a2c3b2cd,906a0cbb-b05a-4501-beff-40a1d3bd6399
a645fc9c-318d-48bb-9bc2-84b50764cff1,2020-07-07,Line items from vendor ac08b9a2-403e-42bd-bb0e-cc6e795c1e3c in this invoice cover future periods (through 2019-12-31),accrual_alert,invoice,dc7b07d6-4977-4d7b-830e-5974e36b124c,ac08b9a2-403e-42bd-bb0e-cc6e795c1e3c
8acbd3bb-5f5e-498d-b7e1-150ecab3c644,2020-11-16,Line items from vendor 9be41a38-e810-48f6-8149-d9b19dee73e8 in this invoice cover future periods (through 2020-03-13),accrual_alert,invoice,41a55a08-d06b-408e-b2bd-2aa1a1f16268,9be41a38-e810-48f6-8149-d9b19dee73e8
48c499c7-2882-43e0-9503-b45f46d52460,2020-02-29,Line items from vendor 9e3feeca-789a-404f-b0a0-5c78a7cd7e2f in this invoice cover future periods (through 2019-01-09),accrual_alert,invoice,a85d0a5a-2ab9-44b7-baa5-2c426bf22e5d,9e3feeca-789a-404f-b0a0-5c78a7cd7e2f
2d8d9c71-0831-4c8e-a9be-70a742d26c24,2020-01-20,First new bill in 4 months from the vendor c753ab1a-cd7b-4968-9a25-0f0471b0c882,vendor_not_seen_in_a_while,invoice,e27451bb-b2eb-45e1-9b96-83c2f5399bcf,c753ab1a-cd7b-4968-9a25-0f0471b0c882
accd897d-21c0-4918-9c4b-c9e43031d875,2020-09-21,First new bill in 8 months from the vendor 0d41b0c0-dd27-4c32-909d-a190744e747b,vendor_not_seen_in_a_while,invoice,e0d0a045-5b38-4874-ab65-1bb521648dea,0d41b0c0-dd27-4c32-909d-a190744e747b
82177d61-b512-448a-ac19-7dc53077621a,2020-02-12,First new bill in 8 months from the vendor 9be41a38-e810-48f6-8149-d9b19dee73e8,vendor_not_seen_in_a_while,invoice,cc5cb581-1228-49c7-97a9-1af89a8423dc,9be41a38-e810-48f6-8149-d9b19dee73e8
84625d44-030c-4a68-9a96-46f94c9a5226,2020-06-18,First new bill in 2 months from the vendor 3a64161d-30c9-41b8-85e7-910b891e6520,vendor_not_seen_in_a_while,invoice,0732547d-1e5c-4be3-8079-18e9a9fd02ef,3a64161d-30c9-41b8-85e7-910b891e6520
c6822b07-ec39-4b60-9928-84af55be520c,2020-08-01,First new bill in 4 months from the vendor 089685a6-ecec-44ab-bfdf-b2ccb5182382,vendor_not_seen_in_a_while,invoice,a205f7ca-d7ae-4c52-a6ac-8eb9e32a588f,089685a6-ecec-44ab-bfdf-b2ccb5182382
41d3f79d-3d9b-467e-b3d9-549d360c20f9,2020-10-31,First new bill in 3 months from the vendor 8601c516-a301-4f29-8dad-8dc71a1881ee,vendor_not_seen_in_a_while,invoice,021b3e22-e57b-4c0e-a8dc-e3ed898c8a8d,8601c516-a301-4f29-8dad-8dc71a1881ee
34a3a033-6576-4b0b-b683-6506751ae84d,2020-11-16,First new bill in 3 months from the vendor f84005d8-f811-40f6-95be-00d95f9d693c,vendor_not_seen_in_a_while,invoice,a2821a2c-11b7-49d9-8be5-dd48db5aeb7f,f84005d8-f811-40f6-95be-00d95f9d693c
b2b4dfee-c389-4c52-b9d0-b073f7c16ef0,2020-07-31,First new bill in 7 months from the vendor f07a65f7-cc13-4f24-8fd4-7f28ea394c36,vendor_not_seen_in_a_while,invoice,6d4738b5-0b1f-43aa-bcc3-3f8dbcb3b26f,f07a65f7-cc13-4f24-8fd4-7f28ea394c36
5e1e87a6-c9ce-4b4d-8227-463125084ae0,2020-01-31,First new bill in 5 months from the vendor 3868ba1e-df06-4cdf-8445-3ff788ef6085,vendor_not_seen_in_a_while,invoice,1af7182d-50e6-4791-ad45-fd8b7c640f4a,3868ba1e-df06-4cdf-8445-3ff788ef6085
89bc53c8-774b-4cc9-aa26-aa84611c82fe,2020-07-17,First new bill in 6 months from the vendor f63517f0-5734-4fec-a0b9-b31b5f5a1dfa,vendor_not_seen_in_a_while,invoice,c78951d3-fdfb-4891-b20b-409c889d0924,f63517f0-5734-4fec-a0b9-b31b5f5a1dfa
ed675597-e4ea-4cdd-bf96-70a4cac87903,2019-09-30,First new bill in 8 months from the vendor 153ec8ce-be54-4776-9e21-78e27dc6c507,vendor_not_seen_in_a_while,invoice,0289d7f6-7894-412c-85a5-693ebd04486a,153ec8ce-be54-4776-9e21-78e27dc6c507
